Company Name,Company Site,Company Industries,Report Link,Report Year,Mean Hourly Gap,Median Hourly Gap,Mean Bonus Gap,Median Bonus Gap,Mean Hourly Gap Part Time,Median Hourly Gap Part Time,Mean Hourly Gap Part Temp,Median Hourly Gap Part Temp,Percentage Bonus Paid Female,Percentage Bonus Paid Male,Percentage BIK Paid Female,Percentage BIK Paid Male,Q1 Female,Q1 Male,Q2 Female,Q2 Male,Q3 Female,Q3 Male,Q4 Female,Q4 Male,Percentage Employees Female,Percentage Employees Male,id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
Hays Specialist Recruitment Ireland Limited,https://www.hays.ie/,Human Resources,https://www.hays.ie/documents/d/global/hays-ireland-gender-pay-gap-report-2022,2022.0,15.4,8.2,28.0,42.6,,,,,78.6,90.4,6.8,5.5,70.2,29.8,58.3,41.7,66.0,34.0,52.1,47.9,,,265,Matheson: Support Services (including partners),270,87.0,37.0,42.0,26.0,https://www.matheson.com/docs/default-source/about-us/matheson-gender-pay-gap-report-december-2022.pdf?sfvrsn=2c06f339_2,2022,,,-5.0,-72.0,90.0,86.0,4.0,14.0,57.0,43.0,88.0,12.0,65.0,35.0,38.0,62.0,,,
Health Information and Quality Authority (HIQA),https://www.hiqa.ie/,Government,https://www.hiqa.ie/sites/default/files/2022-12/HIQA-Gender-Pay-Gap-Report-2022.pdf,2022.0,2.07,1.84,,,26.14,17.75,30.12,59.34,,,,,72.0,28.0,80.0,20.0,74.0,26.0,71.0,29.0,74.0,26.0,266,Maynooth University,271,,16.99,,24.14,https://www.maynoothuniversity.ie/sites/default/files/filefield_paths/GPG%20Report%20MU%202022.pdf,2022,16.89,4.34,14.03,9.39,,,0.0,0.0,67.2,32.8,67.52,32.48,52.26,47.74,45.81,54.19,,,
Health Products Regulatory Authority (HPRA),https://www.hpra.ie/,"Government,Regulatory",https://www.hpra.ie/docs/default-source/publications-forms/corporate-policy-documents/gender-pay-gap-report-2022.pdf?sfvrsn=6,2022.0,3.65,4.62,,,-80.49,-73.03,16.33,33.45,,,,,,,,,,,,,72.0,28.0,267,Mayo County Council,272,,-2.19,,-4.83,https://www.mayo.ie/getmedia/c5daffde-db54-4366-8df6-19c67f1f4a5a/Gender-Pay-Gap-Report.pdf,2022,-1.65,0.23,6.24,-3.48,,,,,36.49,63.51,30.95,69.05,35.69,64.31,45.27,54.73,37.0,63.0,
Health Service Executive (HSE),https://www.hse.ie/,"Public Service,Government",https://www.hse.ie/eng/services/publications/hse-gpg-report-2022.pdf,2022.0,12.0,0.0,,,13.0,-11.0,20.0,23.0,,,,,75.0,25.0,80.0,20.0,83.0,17.0,72.0,28.0,,,268,McKesson Ireland (acquired by Phoenix Group),274,65.81,22.96,42.49,5.01,https://issuu.com/lloydspharmacyireland/docs/gender_pay_reporting_published_36_,2022,11.0,-3.1,,,75.0,77.0,17.49,15.8,80.0,20.0,69.0,31.0,79.0,21.0,63.0,37.0,73.0,27.0,
Heat Merchants Group,https://www.heatmerchants.ie/,Retail,https://www.tubstiles.ie/media/documents/HMGGenderPayGapReport.pdf,2022.0,-3.0,-5.8,-6.0,-57.0,,,,,94.0,88.0,6.0,23.0,19.7,80.3,17.3,82.7,29.0,71.0,22.5,77.5,22.0,78.0,269,Meath County Council,275,,4.11,,-0.67,https://www.meath.ie/system/files/media/file-uploads/2022-12/MCC%20Gender%20Pay%20Gap%20Report%20Dec%202022_0.pdf,2022,-12.43,-4.46,-24.69,-4.66,,,,,42.91,57.09,41.59,58.41,49.12,50.88,37.17,62.83,44.0,56.0,
HedgeServ Ireland,https://www.hedgeserv.com/,Financial,https://www.hedgeserv.com/wp-content/uploads/2022/12/File_GPG-Ireland-Report-2022.pdf,2022.0,9.52,1.9,-0.1,0.0,24.0,27.0,-0.15,-2.6,89.0,84.0,88.0,86.0,36.0,64.0,42.0,58.0,43.0,57.0,31.0,69.0,,,270,Mediahuis Ireland,276,34.8,22.3,0.0,24.4,https://www.mediahuis.ie/app/uploads/2022/12/Mediahuis-GPG-Report-December-2022-201222-2.pdf,2022,31.7,43.7,6.8,-25.9,89.6,94.2,100.0,100.0,53.0,47.0,42.0,58.0,36.0,64.0,25.0,75.0,,,
Heineken Ireland,https://www.heinekenireland.ie/,Food & Drink,https://www.heinekenireland.ie/sustainability/reporting/gender-report.pdf,2022.0,0.7,6.2,-0.1,-7.0,,,11.0,36.0,97.0,94.0,57.0,65.0,18.0,82.0,51.0,49.0,27.0,73.0,35.0,65.0,,,271,Medtronic,277,28.0,11.0,24.0,14.0,https://www.medtronic.com/content/dam/medtronic-wide/public/western-europe/employee-support-services/communications/gender-pay-gap-2022-ie.pdf,2022,-7.0,0.0,8.0,10.0,98.0,98.0,80.0,87.0,52.0,48.0,54.0,46.0,45.0,55.0,40.0,60.0,,,
Henkel,https://www.henkel.com/,Manufacturing,https://www.henkel.com/resource/blob/1790678/d59e321c1ef8ee07598c05ac47ca497c/data/henkel-gpg-report-ireland-2022-final.pdf,2022.0,20.4,22.93,38.75,27.49,21.29,28.46,25.21,13.34,94.12,93.3,94.12,90.91,60.92,39.08,48.84,51.16,20.93,79.07,26.74,73.26,39.4,60.6,272,Merck Millipore,278,33.2,21.1,29.8,22.6,https://www.merckgroup.com/uk-en/2022-Ireland-Gender-Pay-Gap-Report.pdf,2022,,,,,92.2,96.9,84.7,92.9,64.1,35.9,41.4,58.6,24.9,75.1,20.0,80.0,,,
Henry J Lyons,https://henryjlyons.com/,Architecture,https://henryjlyons.com/uploads/images/2022-Gender-Pay-Gap-Report_Henry-J-Lyons.pdf,2022.0,17.9,18.0,18.2,18.4,0.0,0.0,0.0,0.0,95.4,96.4,,,64.0,36.0,48.0,52.0,30.7,69.3,32.4,67.6,40.0,60.0,273,Mercury Ireland UC (Mercury Engineering),279,46.7,16.3,30.1,14.8,https://www.mercuryeng.com/wp-content/uploads/2022/12/Mercury-Gender-Pay-Gap-Report-2022-Final.pdf,2022,,,,,19.98,80.02,0.0,0.0,12.96,87.04,13.1,86.9,9.92,90.08,5.42,94.58,10.35,89.65,
Hermitage Clinic,https://www.blackrockhealth.com/,Healthcare,http://hmc-eb-app-env-prd.eba-ucvkxuqu.eu-west-1.elasticbeanstalk.com/sites/default/files/2022-12/bh_hermitage_clinic_gender_pay_report.pdf,2022.0,10.83,-1.71,70.18,18.18,27.15,5.71,-24.9,-8.39,0.52,3.25,0.35,0.65,80.22,19.78,84.07,15.93,75.69,24.31,75.14,24.86,79.0,21.0,274,Mercy University Hospital,280,,25.17,,0.49,https://muh.ie/images/muhdocs/Mercy-University-Hospital-Gender-Pay-Gap-Report-2022.pdf,2022,16.98,-22.52,,,,,0.48,3.82,78.54,21.46,78.79,21.21,86.11,13.89,70.63,29.37,78.0,22.0,
Hertz,https://www.hertz.ie/rentacar/reservation/,"Automotive,Technology,Software",https://web.archive.org/web/20230322093154/https://images.hertz.com/pdfs/enGB/Gender_Pay_Gap_Report_IE.pdf,2022.0,14.4,10.1,11.5,22.7,-34.2,-24.1,5.9,3.1,71.7,74.7,42.1,40.9,55.4,44.6,42.7,57.3,56.4,43.6,40.2,59.8,53.0,47.0,275,Merit Medical Ireland,281,30.9,11.42,0.0,3.14,https://www.merit.com/compliance/ireland-gender-pay-gap-2022/,2022,0.61,3.3,11.56,3.0,96.0,92.0,76.0,72.0,55.0,45.0,52.0,48.0,51.0,49.0,43.0,57.0,,,
Hewlett Packard - HP Galway,https://www.hp.com/ie-en/home.html,"Technology,Software,Hardware",https://www.hpe.com/psnow/doc/a00128577enw,2022.0,16.7,12.4,34.9,20.8,0.0,0.0,1.8,2.6,84.1,86.1,,,28.0,72.0,26.7,73.3,24.0,76.0,13.5,86.5,32.4,67.6,276,Meta Ireland (all legal entities),282,43.3,15.7,22.1,15.0,https://s21.q4cdn.com/399680738/files/doc_downloads/2022/12/Meta-Ireland-Gender-Pay-2022-Report.pdf,2022,,,7.1,14.4,96.8,96.7,100.0,100.0,60.7,39.3,55.8,44.2,48.9,51.1,37.0,63.0,,,
Hewlett Packard - HPE,https://www.hp.com/ie-en/home.html,"Technology,Software,Hardware",https://www.hpe.com/psnow/doc/a00128577enw,2022.0,15.4,13.8,26.2,-1.9,-7.3,-5.1,1.8,2.6,93.1,88.2,,,36.9,63.1,38.9,61.1,27.4,72.6,26.8,73.2,32.4,67.6,277,Microsoft (both legal entities),283,9.8,0.2,9.9,6.2,https://www.microsoft.com/cms/api/am/binary/RE5dSTj,2022,,,,,82.7,78.4,85.3,86.9,39.2,60.8,33.0,67.0,31.4,68.4,29.9,70.1,,,
Hollister,https://www.hollister.ie/en-ie,Retail,https://www.hollister.com/-/media/files/pdfs-for-download/ie/hollister-gender-pay-gap-report-final.ashx,2022.0,22.7,0.0,48.2,20.6,0.0,0.0,2.8,0.0,100.0,100.0,100.0,100.0,40.0,60.0,72.0,28.0,34.0,66.0,19.0,81.0,41.0,59.0,278,ABM (formerly Momentum Support),284,23.1,3.9,-17.3,1.7,https://abmireland.com/wp-content/uploads/2023/03/Momentum-Support-An-ABM-Company-Gender-Pay-Gap-Report-2022-Reg-No-IE091300-v3-1.pdf,2022,0.2,1.8,,,2.8,3.7,0.9,1.2,77.0,23.0,69.1,30.9,64.5,35.5,64.0,36.0,68.67,31.33,
Home Store + More,https://www.homestoreandmore.ie/homepage.html,Retail,https://www.homestoreandmore.ie/on/demandware.static/-/Sites-master/default/dw6b410c82/instructions/safety-labels/2HSM%20Gender%20pay%20gap%20report%20Updated.pdf,2022.0,11.0,3.0,41.0,25.0,-4.0,1.0,2.0,0.0,34.0,40.0,10.0,12.0,62.0,38.0,53.0,47.0,47.0,53.0,46.0,54.0,52.0,48.0,279,Monaghan County Council,285,,1.12,,-8.5,https://issuu.com/1monaghancoco/docs/mcc_-_gender_pay_gap_report_2022_151222,2022,-8.37,-10.97,12.07,8.23,,,,,35.04,64.96,32.76,67.24,50.0,50.0,44.63,55.37,41.0,59.0,
Horse Racing Ireland,https://www.hri.ie/,Government,https://web.archive.org/web/20221222063631/https://www.hri.ie/gender-pay-gap/,2022.0,0.76,0.09,,,-54.3,-35.5,-4.7,-0.99,,,,,,,,,,,,,45.0,55.0,280,MSD,286,9.34,9.8,-0.24,13.05,https://msd-ireland.com/wp-content/uploads/sites/67/2022/12/MSD-Ireland-Gender-Pay-Gap-Report-2022-Final.pdf,2022,8.06,-4.71,11.57,25.68,95.11,96.18,100.0,100.0,59.0,41.0,48.0,52.0,33.0,67.0,29.0,71.0,42.46,57.74,
Houses of the Oireachtas Service,https://www.oireachtas.ie/,"Public Service,Government",https://data.oireachtas.ie/ie/oireachtas/corporate/reports/2022/2022-12-21_gender-pay-gap-report-2022-english_en.pdf,2022.0,-3.56,-5.62,,,,,,,,,,,47.56,52.44,40.24,59.76,46.91,53.09,47.56,52.44,,,281,MUFG Investor Services Ireland,287,10.4,2.8,2.0,0.6,https://web.archive.org/web/20230530214236/https://www.mufg-investorservices.com/wp-content/uploads/2022/12/MUFG-Ireland-Gender-Pay-Gap-.pdf,2022,,,,,,,88.0,88.0,38.0,62.0,44.0,56.0,42.0,58.0,40.0,60.0,,,
HSBC Ireland (both legal entities),https://www.hsbc.ie/,"Banking,Financial",https://www.about.hsbc.ie/-/media/ireland/en/221216-gender-pay-gap-report-2022.pdf,2022.0,26.0,23.0,48.0,17.0,,,,,91.0,90.0,86.0,90.0,58.0,42.0,54.0,46.0,53.0,47.0,29.0,71.0,,,282,Munster Technological University (MTU),288,,8.1,,6.0,https://www.mtu.ie/media/mtu-website/governance/policies-and-publications/equality-diversity-and-inclusion-edi/MTU-GPG-Report-December-2022.pdf,2022,9.3,10.0,5.1,14.4,,,,,61.1,38.9,52.8,47.1,51.2,48.6,41.3,58.7,52.0,48.0,
HubSpot,https://www.hubspot.com/,"Technology,Software",https://www.hubspot.com/hubfs/Gender%20Pay%20Gap%20Report/HubSpot%20Ireland%20Pay%20Gap%20Report_FINAL.pdf,2022.0,23.1,19.3,41.9,42.5,,,,,77.1,84.2,100.0,100.0,53.7,46.3,47.7,52.3,40.0,60.0,32.0,68.0,,,283,Musgrave: Cedarglade,289,48.9,8.4,0.0,1.3,https://www.musgravegroup.com/wp-content/uploads/2022/12/Cedarglade-Gender-Pay-Gap-Communications-Statement-2022-FINAL.pdf,2022,2.0,1.9,0.0,0.0,41.7,48.7,0.0,0.0,69.0,31.0,66.0,34.0,61.0,39.0,54.0,46.0,,,
IADT,https://iadt.ie/,Education,https://iadt.ie/wp-content/uploads/2022/12/IADT-Gender-Pay-Gap-Report-December-2022.pdf,2022.0,8.7,12.7,,,7.9,15.1,-0.9,0.0,,,,,55.0,45.0,56.0,44.0,53.0,47.0,50.0,50.0,,,284,Musgrave: Musgrave Limited,290,-13.5,-11.9,-15.4,-18.5,https://www.musgravegroup.com/wp-content/uploads/2022/12/Musgrave-Ltd-Gender-Pay-Gap-Communications-Statement-2022-FINAL-1.pdf,2022,-51.3,-12.4,-0.8,-6.7,85.0,90.0,8.0,7.0,20.0,80.0,14.0,86.0,26.0,74.0,29.0,71.0,,,
Iarnród Éireann (Irish Rail),https://www.irishrail.ie/,"Public Service,Transport,Transport",https://www.irishrail.ie/Admin/IrishRail/media/Content/Sustainability/06361-Iarnrod-Eireann-Gender-Pay-Gap-Report-Proof-10.pdf,2022.0,-6.32,-12.9,,,,,,,,,,,9.3,90.7,5.1,94.9,14.1,85.9,16.4,83.6,11.2,88.8,285,Musgrave: Musgrave Operating Partners Ireland (MOPI) ,291,44.6,11.6,24.1,8.9,https://www.musgravegroup.com/wp-content/uploads/2022/12/MOPI-Gender-Pay-Gap-Communications-Statement-2022-FINAL.pdf,2022,5.1,8.2,-2.8,2.0,85.2,86.4,1.1,2.4,61.0,39.0,59.0,41.0,56.0,44.0,30.0,70.0,,,
Ibec,https://www.ibec.ie/,Lobbying,https://www.ibec.ie/-/media/documents/about-us/ibec-gpg-report.pdf,2022.0,29.2,29.4,43.2,26.7,,,38.5,40.4,95.5,91.3,33.9,32.5,79.7,20.3,84.4,15.6,57.8,42.2,53.8,46.2,69.0,31.0,286,Nandos,292,33.0,-6.0,24.2,-0.3,https://www.nandos.ie/sites/default/files/Gender%20Pay%20Gap%20Report%20%28ROI%29%202022.pdf,2022,1.6,0.0,1.5,0.1,11.9,10.6,3.6,1.8,54.0,46.0,49.0,51.0,58.0,42.0,54.0,46.0,,,
IBM,https://www.ibm.com/uk-en,"Technology,Software,Hardware",https://www.ibm.com/downloads/cas/JPNL0N4Z?mhsrc=ibmsearch_a&mhq=gender%20pay%20gap,2022.0,3.1,8.1,3.6,-3.6,23.4,33.7,27.7,-19.0,97.4,97.4,100.0,100.0,33.8,66.2,29.0,71.0,25.0,75.0,24.3,75.7,,,287,National Co-operative Farm Relief Services Limited (FRS Network),293,72.95,-15.6,60.02,-15.56,https://web.archive.org/web/20230202211403/https://www.frsnetwork.ie/gender-pay-gap-report/,2022,-5.88,-3.4,,,4.0,2.0,1.0,2.0,18.0,82.0,6.0,94.0,9.0,91.0,27.0,73.0,,,
ICON Clinical Research Limited (Ireland),https://www.iconplc.com/,"Pharmaceutical,Professional Services",https://icon.widen.net/content/4gv7qwmoyv/original/ICR-ireland-gender-pay-gap-report-2022.pdf?u=z8skf3&download=false,2022.0,16.3,12.4,43.8,38.0,-133.8,-50.5,18.7,23.4,74.1,75.3,77.8,80.5,68.0,32.0,67.0,33.0,63.0,37.0,52.0,48.0,62.0,38.0,288,National College of Ireland,294,14.5,26.1,14.4,37.4,https://www.ncirl.ie/Portals/0/Gender%20Pay%20Gap/Gender_PayGap_Report22%20FINAL.pdf?ver=2022-12-19-121305-370,2022,37.4,48.0,26.1,51.9,1.03,0.93,,,63.0,37.0,70.0,30.0,55.0,45.0,40.0,60.0,,,
IDA Ireland,https://www.idaireland.com/,Government,https://www.idaireland.com/getmedia/a414f278-5c95-473c-9d9b-61b10144d489/IDA-Ireland-Gender-Pay-Gap-Report-2022.pdf?ext=.pdf,2022.0,14.6,0.7,,,,,0.9,19.1,,,,,,,,,,,,,51.0,49.0,289,National Shared Services Office,295,,0.35,,-7.56,https://prod-nsso-assets.s3.amazonaws.com/documents/Gender_Pay_Gap_Report_v3.pdf,2022,-4.86,9.84,7.95,0.0,,,,,62.87,37.18,63.41,36.59,73.85,26.15,69.15,30.85,67.0,33.0,
IKEA Ireland,https://www.ikea.com/ie/en/,Retail,https://www.ikea.com/ie/en/files/pdf/94/76/9476c4b2/ikea-ireland-gender-pay-gap-report-2022_final.pdf,2022.0,8.61,1.75,,,1.27,0.54,,,,,,,61.33,38.67,61.11,38.89,60.0,40.0,42.54,57.46,56.4,43.6,290,National Transport Authority,296,,3.78,,1.91,https://www.nationaltransport.ie/wp-content/uploads/2022/12/Gender-Pay-Gap.pdf,2022,-33.99,-81.18,,,,,,,45.0,55.0,30.0,70.0,32.0,68.0,31.0,69.0,35.0,65.0,
Indeed Ireland Operations Ltd,https://ie.indeed.com/about,"Technology,Software",https://d341ezm4iqaae0.cloudfront.net/jobseeker/wp-content/uploads/2022/12/15131012/Final-Indeed-Ireland-Operations-Ltd-2022-Gender-Pay-Gap-report-for-website-publication.pdf,2022.0,22.0,25.08,45.75,56.62,-73.56,-20.12,6.03,8.3,89.72,89.61,93.25,93.39,56.46,43.54,53.8,46.2,51.55,48.45,29.78,70.22,48.0,52.0,291,National Treasury Management Agency (NTMA),297,22.5,20.5,21.5,17.0,https://www.ntma.ie/uploads/publication-articles/NTMA-2022-Gender-Pay-Gap-Report.pdf,2022,-72.4,-70.8,19.2,17.7,32.9,38.0,30.5,48.0,65.9,34.1,53.2,46.8,50.1,49.9,38.7,61.3,52.0,48.0,
Infosys BPM,https://www.infosysbpm.com/,Business Process Management,https://www.infosysbpm.com/ireland/documents/infosys-bpm-gender-pay-gap-report-2022.pdf,2022.0,2.5,0.2,7.7,17.7,-0.1,-0.2,0.0,0.2,96.2,94.7,4.8,7.1,46.8,53.2,42.9,57.1,47.0,53.0,41.5,58.5,,,292,Vision Ireland (formerly NCBI National Council for the Blind of Ireland),298,14.93,12.08,0.0,25.62,https://www.ncbi.ie/ncbi-gender-pay-gap-report/,2022,16.07,34.78,2.96,10.38,25.56,7.32,0.0,0.0,77.27,22.73,86.36,13.64,73.86,26.14,69.32,30.68,,,
Insomnia,https://www.insomnia.ie,"Hospitality,Restaurant",https://paygap.ie/reportArchives/2022/insomnia.pdf,2022.0,20.34,0.82,61.8,15.2,-0.4,-0.3,,,22.0,31.0,,,78.0,22.0,82.0,18.0,86.0,14.0,71.0,29.0,,,293,New Ireland Assurance,299,67.9,23.4,99.3,10.7,https://www.newireland.ie/view-document/107137-New_Ireland_GPG_Report_2022_.pdf,2022,-50.6,-46.8,-13.5,0.0,2.6,12.9,91.3,89.5,61.0,39.0,58.0,42.0,62.0,38.0,37.0,63.0,55.0,45.0,
Integer Holdings,https://www.integer.net/home/default.aspx,Medical,https://s24.q4cdn.com/416143379/files/doc_downloads/2022/Ireland-Pay-Gap-12.30.2022.pdf,2022.0,11.3,7.6,,,,,,,79.0,77.0,53.0,53.0,53.0,47.0,48.0,52.0,41.0,59.0,32.0,68.0,43.0,57.0,294,Northern Trust,300,35.0,11.0,12.5,3.3,https://www.northerntrust.com/content/dam/northerntrust/pws/nt/documents/about-us/policy/2022-irl-gpg-main-report.pdf,2022,-18.5,-10.2,23.8,0.0,96.4,94.8,90.2,87.9,48.4,51.6,54.8,45.2,51.8,48.2,41.4,58.6,,,
Intel Ireland (Overall),https://www.intel.ie/content/www/ie/en/company-overview/intel-in-ireland.html,"Technology,Software,Hardware",https://www.intel.ie/content/dam/www/central-libraries/us/en/documents/2022-11/ireland-gender-report-final-112022.pdf,2022.0,5.4,9.3,9.6,11.7,7.8,-0.1,-21.4,-41.6,95.4,97.0,88.6,91.3,23.9,76.1,13.7,86.3,11.1,88.9,17.7,82.3,,,295,Novartis: Novartis Ireland Limited,301,24.8,14.8,28.6,17.8,https://www.novartis.com/ie-en/sites/novartis_ie/files/Gender%20Pay%20Gap%20Report%202022%20-%20Novartis%20Ireland.pdf,2022,-22.5,21.0,0.1,-2.1,91.1,92.1,91.7,93.4,71.3,28.7,58.2,41.8,46.9,53.1,41.6,58.4,,,
Intel Ireland Limited,https://www.intel.ie/content/www/ie/en/company-overview/intel-in-ireland.html,"Technology,Software,Hardware",https://www.intel.ie/content/dam/www/central-libraries/us/en/documents/2022-11/ireland-gender-report-final-112022.pdf,2022.0,1.8,7.4,1.7,9.1,-14.8,-14.8,11.3,6.1,95.8,7.0,89.6,91.6,23.0,77.0,13.2,86.8,8.4,91.6,18.9,81.1,,,296,Novartis: Novartis Ringaskiddy Limited,302,2.2,23.4,7.7,29.5,https://www.novartis.com/ie-en/sites/novartis_ie/files/Gender%20Pay%20Gap%20Report%202022%20-%20Novartis%20Ireland.pdf,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Intel R&D Ireland Limited,https://www.intel.ie/content/www/ie/en/company-overview/intel-in-ireland.html,"Technology,Software,Hardware",https://www.intel.ie/content/dam/www/central-libraries/us/en/documents/2022-11/ireland-gender-report-final-112022.pdf,2022.0,22.9,33.0,39.2,36.9,24.1,36.2,-55.6,-11.2,93.8,97.4,84.4,89.1,31.6,68.4,25.9,74.1,16.6,83.4,8.8,91.2,,,297,Nua Healthcare Services,303,-32.99,-2.05,-566.7,-1.38,https://www.nuahealthcare.ie/contentFiles/Gender_Pay_Gap_Report_2022.pdf,2022,0.0,0.0,0.0,0.0,31.1,32.1,2.01,6.01,64.89,35.11,57.31,42.69,63.51,36.49,69.76,30.24,62.0,38.0,
Intercom,https://www.intercom.com/,"Technology,Software",https://assets.ctfassets.net/xny2w179f4ki/4YZA04h9Jbl4AjtraNyB1p/c46bc809d52f236ffdc0de2aa8dbf620/Intercom_Gender_Pay_Report-_Ireland__2022.pdf,2022.0,27.6,19.7,33.9,26.1,-17.5,-17.5,,,83.0,84.0,82.0,86.0,51.9,49.1,45.4,54.6,38.3,61.7,20.4,79.6,39.0,61.0,298,Offaly County Council,304,,-4.0,,-9.12,https://www.offaly.ie/app/uploads/Council/Publications_Reports/Gender-Pay-Gap-Report-Dec-2022.pdf,2022,-9.25,-9.0,-7.49,-1.44,,,,,32.52,67.48,32.79,67.21,52.46,47.54,46.34,53.66,41.0,59.0,
InterContinental Hotel,https://www.ihg.com/intercontinental/hotels/us/en/dublin/dblic/hoteldetail,"Hospitality,Hotel",https://www.mhlhotelcollection.com/files/hotel/downloads/Gender_Pay_Gap_Report_-_InterCon.pdf,2022.0,1.7,0.2,-43.51,58.33,-8.71,1.0,-5.39,-1.0,5.51,2.9,0.0,0.0,56.0,44.0,51.0,49.0,50.0,50.0,49.0,51.0,,,299,Office of Public Works: Established Staff,305,,17.1,,15.54,https://www.gov.ie/pdf/?file=https://assets.gov.ie/243689/f706321e-e782-4705-8109-714c66e03930.pdf#page=null,2022,,,-8.71,-5.28,,,,,66.35,33.65,57.0,43.0,32.85,67.15,33.17,66.83,47.0,53.0,
IQVIA RDS Ireland Limited,https://www.iqvia.com/,"Technology,Software",https://www.iqvia.com/-/media/iqvia/pdfs/about-us/2022-ireland-gpr.pdf,2022.0,8.0,11.0,6.0,15.0,59.0,60.0,41.0,25.0,86.1,83.3,85.1,87.8,64.0,36.0,78.0,22.0,67.0,33.0,65.0,35.0,62.0,38.0,300,Office of Public Works: State industrial Staff,306,,10.07,,10.98,https://www.gov.ie/pdf/?file=https://assets.gov.ie/243689/f706321e-e782-4705-8109-714c66e03930.pdf#page=null,2022,,,5.39,8.35,,,,,28.16,71.84,5.07,94.93,14.44,85.56,14.08,85.92,24.0,76.0,
Irish Aviation Authority (IAA),https://www.iaa.ie/,Aviation,https://www.iaa.ie/docs/default-source/publications/corporate-publications/performance/iaa-gender-pay-gap-report-2022.pdf?sfvrsn=b77413f3_6,2022.0,21.0,36.0,,,-15.0,-90.0,49.0,63.0,,,0.0,0.4,,,,,,,,,28.0,72.0,301,Ornua Co-operative Ltd,307,50.0,34.0,32.0,29.0,https://www.ornua.com/wp-content/uploads/2022/12/Ornua-Gender-Pay-Gap-Report-2022-FINAL.pdf,2022,,,-8.0,6.0,76.0,82.0,88.0,87.0,61.0,39.0,67.0,33.0,39.0,61.0,32.0,68.0,50.0,50.0,
Irish Cancer Society,https://www.cancer.ie/,Charity,https://www.cancer.ie/sites/default/files/2022-12/Gender%20pay%20gap%20report_vF.pdf,2022.0,7.0,-11.0,,,-7.0,-7.0,10.0,24.0,,,,,94.0,6.0,87.0,13.0,98.0,2.0,92.0,8.0,93.0,7.0,302,Orwell Healthcare,308,0.0,-7.0,,-1.0,https://orwellhealthcare.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022-Orwell-Healthcare.pdf,2022,-8.0,4.0,,,74.0,26.0,81.0,19.0,79.0,21.0,60.0,40.0,66.0,34.0,80.0,20.0,71.0,29.0,
Irish Distillers ,https://www.irishdistillers.ie/,Food & Drink,https://www.irishdistillers.ie/wp-content/uploads/2023/03/Irish-Distillers-Gender-Pay-Gap-Report-_Dec-22.pdf,2022.0,13.3,11.1,10.0,-3.5,-162.4,-153.5,-11.9,-3.3,71.1,79.6,79.7,84.4,47.0,53.0,38.0,62.0,35.0,65.0,32.0,68.0,38.0,62.0,303,Our Lady's Hospice and Care Services,309,,-1.0,,-13.0,https://web.archive.org/web/20230605163024/https://olh.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022_FINAL.pdf,2022,2.0,-10.0,-3.0,2.0,,,,,75.0,25.0,79.0,21.0,84.0,16.0,86.0,14.0,81.03,18.97,
Irish Life Group (all legal entities),https://www.irishlife.ie/,"Insurance,Financial",https://assets-eu-01.kc-usercontent.com/ffd8d21b-ebd4-0151-55d5-297335c8f50f/2ad61fe9-6459-4c21-b7e9-377c858c6910/Irish%20Life%20Group%20companies%20Gender%20Pay%20report%202022%20%281%29.pdf,2022.0,14.7,9.8,51.0,32.1,13.7,24.2,-15.3,-1.0,92.6,1.3,49.1,50.6,56.8,43.2,55.2,44.8,52.97,47.03,39.52,60.48,51.12,48.88,304,Paypal,310,27.1,14.0,1.7,6.4,https://www.paypalobjects.com/marketing/web/ie/en/PayPal-Ireland-Gender-Pay-Gap-report-2021-2022.pdf,2022,0.0,0.0,0.0,0.0,99.3,99.6,100.0,100.0,59.2,40.8,53.0,47.0,54.8,45.2,45.1,54.9,53.0,47.0,
Irish Prison Service: Civilian Grades,https://www.irishprisons.ie/,"Public Service,Government",https://www.irishprisons.ie/wp-content/uploads/documents_pdf/IPS-Gender-Pay-Gap-Report.pdf,2022.0,20.8,19.52,,,36.24,16.11,,,,,,,77.0,23.0,69.0,31.0,59.0,41.0,56.0,44.0,65.0,35.0,305,Pepper,311,61.53,25.15,29.95,15.64,https://web.archive.org/web/20230404001351/https://www.pepper-advantage.ie/siteassets/lending/documents/pepper-gender-pay-gap-report-2022.pdf,2022,27.89,37.76,,,70.0,65.0,81.0,76.0,64.0,36.0,61.0,39.0,64.0,36.0,39.0,64.0,,,
