Company Name,Company Site,Company Industries,Report Link,Report Year,Mean Hourly Gap,Median Hourly Gap,Mean Bonus Gap,Median Bonus Gap,Mean Hourly Gap Part Time,Median Hourly Gap Part Time,Mean Hourly Gap Part Temp,Median Hourly Gap Part Temp,Percentage Bonus Paid Female,Percentage Bonus Paid Male,Percentage BIK Paid Female,Percentage BIK Paid Male,Q1 Female,Q1 Male,Q2 Female,Q2 Male,Q3 Female,Q3 Male,Q4 Female,Q4 Male,Percentage Employees Female,Percentage Employees Male,id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
Musgrave: Musgrave Limited,https://www.musgravegroup.com/,Retail,https://www.musgravegroup.com/wp-content/uploads/2023/12/Musgrave-Ltd-Gender-Pay-Gap-Report-202320.pdf,2023.0,-10.0,-19.3,-5.6,-5.5,-50.3,-19.5,-3.5,-4.5,89.2,94.2,12.0,9.0,22.0,78.0,14.0,86.0,27.0,73.0,29.0,71.0,,,1016,New Ireland Assurance,299,16.9,19.8,-16.9,13.5,https://www.newireland.ie/view-document/107412-New_Ireland_GPG_Report_2023.pdf,2023,-31.7,-11.2,15.0,-1.7,0.8,6.6,96.6,94.0,61.0,39.0,59.0,41.0,58.0,42.0,40.0,60.0,54.0,46.0,
Musgrave: Musgrave Operating Partners Ireland (MOPI) ,https://www.musgravegroup.com/,Retail,https://www.musgravegroup.com/wp-content/uploads/2023/12/MOPI-Gender-Pay-Gap-Report-202354.pdf,2023.0,12.0,9.6,35.1,16.0,4.8,6.5,2.3,1.6,88.8,90.3,1.0,2.0,61.0,39.0,62.0,38.0,53.0,47.0,32.0,68.0,,,1017,The Defence Organisation: Civil Servant Employees,365,,12.12,,11.07,https://web.archive.org/web/20240124215800/https://assets.gov.ie/279815/8017892f-c56f-4cc6-ab2d-494044fbdd32.pdf,2023,-45.67,-35.42,-1.48,-1.48,,,,,65.66,34.34,78.57,21.43,74.49,25.51,52.53,47.47,67.77,32.23,The Defence Organisation does not pay bonuses or BIK
Nandos,https://www.nandos.ie/,"Hospitality,Restaurant",https://www.nandos.ie/sites/default/files/GenderPayGapReportROI2023.pdf,2023.0,-6.5,0.2,-29.3,-69.2,0.6,0.3,-1.3,-0.7,7.9,7.7,3.9,2.1,52.0,48.0,50.0,50.0,47.0,53.0,48.0,52.0,,,1018,The Defence Organisation: Civilian Employees,366,,6.43,,4.35,https://web.archive.org/web/20240124215800/https://assets.gov.ie/279815/8017892f-c56f-4cc6-ab2d-494044fbdd32.pdf,2023,-8.42,-15.69,,,,,,,28.85,71.15,26.21,73.79,5.83,94.17,12.62,87.38,18.4,81.6,The Defence Organisation does not pay bonuses or BIK. No figures reported for temporary employees.
National Co-operative Farm Relief Services Limited (FRS Network),https://www.frsnetwork.ie/frs-network/,Agriculture,https://www.frsnetwork.ie/gender-pay-gap-report-2023/,2023.0,-14.6,-12.4,30.51,63.87,-12.0,-10.0,,,2.76,2.81,0.69,2.67,20.0,80.0,12.0,88.0,9.0,91.0,30.0,70.0,,,1019,The Defence Organisation: Defense Forces,367,,-2.56,,-0.44,https://web.archive.org/web/20240124215800/https://assets.gov.ie/279815/8017892f-c56f-4cc6-ab2d-494044fbdd32.pdf,2023,-32.82,-49.81,,,,,,,6.93,93.07,7.28,92.72,6.17,93.83,8.38,91.62,7.19,92.81,The Defence Organisation does not pay bonuses or BIK. No figures reported for temporary employees.
National College of Ireland,https://www.ncirl.ie/,Education,https://www.ncirl.ie/Portals/0/Annual%20Reports/Gender_PayGap_Report23.pdf,2023.0,38.4,41.4,14.5,14.4,42.3,57.2,28.3,60.0,,,,,72.0,28.0,72.0,28.0,53.0,47.0,38.0,62.0,59.0,41.0,1020,University of Galway,662,,18.4,,17.4,https://www.universityofgalway.ie/media/equality/ovpedi/files/University-of-Galway-GPG-Report-2022-23-Rev-C.pdf,2023,31.1,3.6,4.5,-1.9,,,,,60.0,40.0,68.7,31.3,59.0,41.0,44.4,55.6,58.04,41.96,"Headcount percentage reported incorrectly, displayed figures here are calculated based on the numbers provided. The university does not pay bonuses or benefit in kind."
National Maternity Hospital,https://www.nmh.ie/,Healthcare,https://www.nmh.ie/_fileupload/final-gender-pay-gap-report-2023.pdf,2023.0,18.98,-25.34,,,16.15,-53.27,21.04,-20.81,,,,,83.48,16.52,78.84,21.16,90.43,9.57,82.61,17.39,82.15,17.85,1021,Bidvest Noonan,61,42.65,10.74,6.67,8.01,https://bidvestnoonan.ie/wp-content/uploads/2024/01/Gender-Pay-Gap-2023-Ireland.pdf,2023,10.23,6.97,,,1.21,1.82,0.98,3.83,77.38,22.62,61.06,38.94,37.9,62.1,29.03,70.97,,,No temporary employees to report on
National Shared Services Office,https://nsso.gov.ie/,"Public Service,Government",https://prod-nsso-assets.s3.amazonaws.com/documents/Gender_Pay_Gap_Report_2023.pdf,2023.0,1.58,-3.67,,,-13.31,-14.17,4.46,4.41,,,,,66.83,33.17,65.53,34.47,70.39,29.61,68.78,21.33,67.88,32.11,1022,Concern,99,42.9,2.7,29.8,0.7,https://admin.concern.net/sites/default/files/documents/2023-12/238%20Gender%20Gap%20Report%202023.pdf,2023,-16.4,-18.4,4.0,0.6,,,,,60.0,40.0,41.0,59.0,52.0,48.0,48.0,52.0,50.0,50.0,
National Transport Authority,https://www.nationaltransport.ie/,"Public Service,Government",https://www.nationaltransport.ie/wp-content/uploads/2023/12/Gender-Pay-Gap-2023.pdf,2023.0,4.95,4.89,,,-14.68,-16.75,,,,,,,50.0,50.0,32.0,68.0,35.0,65.0,33.0,67.0,37.0,63.0,1023,Louth County Council,262,,2.41,,-1.32,https://www.louthcoco.ie/en/publications/other-reports/louth-county-council-gender-pay-gap-report-2023.html,2023,-2.8,-2.41,-3.79,-4.05,,,,,50.25,49.75,26.63,73.37,43.43,56.57,39.7,60.3,40.0,60.0,Louth County Council does not pay bonuses or BIK. Report is a download-only doc file.
National Treasury Management Agency (NTMA),https://www.ntma.ie/,"Public Service,Government",https://www.ntma.ie/uploads/publication-articles/NTMA-Gender-Pay-Gap-Report-2023.pdf,2023.0,17.2,13.5,19.0,24.3,6.5,-59.0,0.4,5.7,35.5,38.3,28.7,45.1,61.5,38.5,53.6,46.4,50.7,49.3,41.1,58.9,,,1024,Sun Life,355,23.0,13.0,17.0,10.0,https://www.sunlife.ie/content/dam/sunlife/regional/ireland/documents/sun-life-gender-pay-gap-report-december-2023.pdf,2023,-39.0,-35.0,0.0,0.0,88.0,89.0,87.0,87.0,49.0,51.0,46.0,54.0,50.0,50.0,29.0,71.0,44.0,56.0,
New Ireland Assurance,https://www.newireland.ie/,Insurance,https://www.newireland.ie/view-document/107412-New_Ireland_GPG_Report_2023.pdf,2023.0,19.8,13.5,16.9,-16.9,-31.7,-11.2,15.0,-1.7,0.8,6.6,96.6,94.0,61.0,39.0,59.0,41.0,58.0,42.0,40.0,60.0,54.0,46.0,1025,Fenergo Limited,166,-19.2,6.5,15.2,17.2,https://web.archive.org/web/20240127193838/https://content.cdntwrk.com/files/aT0xNTEzNTk1JnY9MSZpc3N1ZU5hbWU9ZmluYWwtZmVuZXJnby1nZW5kZXItcGF5LWdhcC1yZXBvcnQtaXJlbGFuZC0yMDIzJmNtZD1kJnNpZz04NWFlODI5OTZmNTRiODczMzJhYmY4N2FmZGMxMzk5Yg%3D%3D,2023,,,,,99.0,99.5,77.0,78.0,44.0,56.0,39.0,61.0,29.0,71.0,29.0,71.0,35.0,65.0,Part-time & temporary employees not mentioned in the report.
New Look,https://www.newlookgroup.com/,Retail,https://www.newlookgroup.com/~/media/Files/N/New-Look-Retailers/corporate-governance/GPG%20New%20Look%20ROI%202022.pdf,2023.0,39.1,13.9,76.5,92.82,5.4,-3.5,,,16.0,25.0,6.0,25.0,98.0,2.0,99.0,1.0,100.0,0.0,94.0,6.0,98.0,2.0,1026,Liffey Meats,615,55.6,13.79,31.53,6.76,https://liffeymeats.ie/gender-pay-gap/,2023,,,,,23.4,,,,33.0,67.0,31.1,68.9,26.0,74.0,9.25,90.75,24.8,75.2,"Missing figures for the percentage of males paid a bonus, BIK, and part-time or temporary employees"
Next,https://www.next.ie/en,Retail,https://xcdn.next.co.uk/PDFS/genderpay/GPG2024.pdf,2023.0,-0.7,0.1,7.5,-4.8,-0.2,-0.2,,,95.2,93.5,1.1,1.9,78.0,22.0,84.6,15.4,75.0,25.0,85.6,14.4,,,1027,Roscommon County Council,327,,-6.0,,-13.55,https://www.roscommoncoco.ie/en/download-it/corporate-affairs1/corporate-affairs-publications/publications/gender-pay-gap-december-2023.pdf,2023,-3.33,-2.61,-11.49,22.57,,,,,30.33,69.67,12.3,87.7,61.98,38.02,41.94,58.06,37.0,63.0,Roscommon County Council does not pay bonuses or BIK.
Northern Trust,https://www.northerntrust.com/europe/home,"Banking,Financial",https://www.northerntrust.com/content/dam/northerntrust/pws/nt/documents/about-us/policy/2023-irl-gpg-main-report.pdf,2023.0,12.8,5.2,37.3,9.3,1.3,22.4,9.0,0.0,99.4,98.3,91.0,88.6,48.3,51.7,57.0,43.0,52.1,47.9,39.7,60.3,,,1028,daa (Dublin Airport Authority),110,11.0,12.2,6.0,13.2,https://www.daa.ie/wp-content/uploads/2023/12/daa-Gender-Pay-Gap-Report-2023.pdf,2023,-14.8,-3.8,2.3,3.2,,,86.7,88.7,46.4,53.6,42.9,57.1,37.6,62.4,28.9,71.1,,,
Novartis: Novartis Ireland Limited,https://www.novartis.com/,Pharmaceutical,https://www.novartis.com/ie-en/sites/novartis_ie/files/Novartis%20Gender%20Pay%20Gap%20Narrative%202023.pdf,2023.0,10.8,11.8,27.0,28.7,24.1,50.8,42.4,50.8,97.1,98.3,97.8,97.8,71.8,28.2,57.8,42.2,49.6,50.4,45.9,54.1,56.0,44.0,1029,Next,628,7.5,-0.7,-4.8,0.1,https://xcdn.next.co.uk/PDFS/genderpay/GPG2024.pdf,2023,-0.2,-0.2,,,95.2,93.5,1.1,1.9,78.0,22.0,84.6,15.4,75.0,25.0,85.6,14.4,,,There were no temporary contractors employed on the reporting date.
NOVAS,https://www.novas.ie/,Charity,https://www.novas.ie/wp-content/uploads/2023/12/Novas-Gender-Pay-Report-2023-FINAL.pdf?x71087,2023.0,4.32,0.97,,,-5.09,-0.24,,,,,,,69.6,30.4,69.6,30.4,68.1,31.9,65.7,34.3,,,1030,EPS Water,574,48.0,24.71,33.0,19.66,https://epswater.ie/wp-content/uploads/2024/02/EPS-Gender-Pay-Gap-Report-2023_Final.pdf,2023,-7.25,-26.1,,,,,,,,,,,,,,,13.6,86.13,"Bonus shown as \""gap\"" not as percentage receiving bonus. Quartiles calculated incorrectly. "
Nua Healthcare Services,https://www.nuahealthcare.ie/,Medical,https://www.nuahealthcare.ie/contentFiles/Gender_Pay_Gap_Report_2023.pdf,2023.0,-2.05,-2.08,5.29,0.0,,,,,18.66,18.35,10.09,11.82,58.65,41.35,52.06,47.94,60.79,39.21,66.89,33.11,58.0,42.0,1031,LotusWorks,616,-7.81,19.05,-50.0,26.57,https://lotusworks.com/en-ie/gender-pay-gap-2023/,2023,20.96,26.57,5.78,12.74,5.2,5.7,67.2,70.23,35.56,64.44,8.79,91.21,3.3,96.7,10.0,90.0,15.5,84.5,
